"System Name","Body Name","Body Subtype","Is Terraformable","Distance To Arrival","Estimated Scan Value","Estimated Mapping Value","Jumps"
"6 Corvi","6 Corvi 1","Metal-rich body","No","212","31447","104823","2"
"HIP 59652","HIP 59652 B 1","Metal-rich body","No","17951","34389","114629","1"
"C3 Centauri","C3 Centauri 1","Water world","No","10620","117646","392153","2"
"Wregoe TB-B c27-0","Wregoe TB-B c27-0 1","Metal-rich body","No","12","30471","101569","1"
"HIP 58714","HIP 58714 B 1","High metal content world","Yes","12597","166470","554899","1"
"HIP 58714","HIP 58714 B 2","High metal content world","Yes","12597","169374","564579","0"
"HIP 58714","HIP 58714 B 3","Water world","Yes","12671","260768","869226","0"
"HIP 58714","HIP 58714 B 4","High metal content world","Yes","12672","158404","528013","0"
"HR 4592","HR 4592 A 10 a","Water world","Yes","3962","273291","910969","1"
"HR 4592","HR 4592 A 11 a","Water world","No","5396","101192","337306","0"
"Rho Centauri","Rho Centauri 1","Metal-rich body","No","56","35464","118213","1"
"Rho Centauri","Rho Centauri 9","Water world","No","8560","120463","401543","0"
"Wregoe ZS-X c28-0","Wregoe ZS-X c28-0 A 3","High metal content world","Yes","302","153178","510593","1"
"Wregoe ZS-X c28-0","Wregoe ZS-X c28-0 A 5","Water world","Yes","402","250974","836579","0"
"Wregoe ZS-X c28-0","Wregoe ZS-X c28-0 A 4","Water world","Yes","403","254983","849943","0"
"Wregoe ZS-X c28-0","Wregoe ZS-X c28-0 A 6","High metal content world","Yes","506","156971","523236","0"
"HR 5029","HR 5029 A 1","Metal-rich body","No","261","35322","117739","1"
"HR 5029","HR 5029 A 2","Metal-rich body","No","264","33339","111129","0"
"HIP 66782","HIP 66782 3","Metal-rich body","No","130","37597","125323","1"
"HIP 66782","HIP 66782 14 n","Water world","No","2411","95529","318429","0"
"Praea Euq PH-V c2-0","Praea Euq PH-V c2-0 1","High metal content world","Yes","354","153275","510916","2"
"Praea Euq UI-T c3-0","Praea Euq UI-T c3-0 A 2","High metal content world","Yes","87","147458","491526","2"
"Praea Euq UI-T c3-0","Praea Euq UI-T c3-0 A 4","High metal content world","Yes","174","153173","510576","0"
"HR 5650","HR 5650 B 5","High metal content world","Yes","14551","163588","545293","1"
"HR 5650","HR 5650 B 3","Water world","Yes","14755","272824","909413","0"
"HR 5650","HR 5650 B 4","High metal content world","Yes","14946","161897","539656","0"
"HIP 72362","HIP 72362 6 a","Water world","No","4148","96031","320103","2"
"Praea Euq DA-Z c0","Praea Euq DA-Z c0 A 1","Metal-rich body","No","12","30178","100593","2"
"Praea Euq ZT-A c0","Praea Euq ZT-A c0 AB 1","Water world","Yes","192","251153","837176","1"
"HR 5092","HR 5092 B 4","High metal content world","Yes","28229","153734","512446","1"
"HR 5092","HR 5092 B 5","High metal content world","Yes","28229","151569","505229","0"
"HR 5092","HR 5092 C 1","High metal content world","Yes","28822","147820","492733","0"
"HR 5092","HR 5092 B 6","High metal content world","Yes","29047","169847","566156","0"
"HIP 66381","HIP 66381 A 1","Metal-rich body","No","81","32202","107339","1"
"HIP 66381","HIP 66381 A 6","High metal content world","Yes","1185","177034","590113","0"
"HIP 66381","HIP 66381 A 8","Water world","No","2893","113201","377336","0"
"HR 5090","HR 5090 1","Metal-rich body","No","11","35711","119036","2"
"HR 5090","HR 5090 2","Metal-rich body","No","33","34774","115913","0"
"HIP 65920","HIP 65920 1","Metal-rich body","No","141","32947","109823","4"
"HIP 67741","HIP 67741 3","High metal content world","Yes","802","171385","571283","1"
"HIP 67741","HIP 67741 5","Water world","No","1603","103715","345716","0"
"HIP 62694","HIP 62694 4","High metal content world","Yes","356","187647","625489","3"
"HIP 62694","HIP 62694 5","High metal content world","Yes","522","181778","605926","0"
"HIP 63454","HIP 63454 6","High metal content world","Yes","677","168841","562803","1"
"HIP 63454","HIP 63454 8","Water world","No","1583","106431","354769","0"
"HIP 61754","HIP 61754 A 9","Water world","No","1231","106111","353703","1"
"8 Pi Virginis","8 Pi Virginis B 4","High metal content world","Yes","51724","166576","555253","2"
"8 Pi Virginis","8 Pi Virginis B 3","High metal content world","Yes","52337","163301","544336","0"
"8 Pi Virginis","8 Pi Virginis B 5","High metal content world","Yes","52382","175547","585156","0"
"HIP 55562","HIP 55562 B 5","Water world","No","26986","101647","338823","3"
"HIP 54269","HIP 54269 BC 1","Metal-rich body","No","113","31718","105726","1"
"HIP 55104","HIP 55104 1","Water world","No","420","111810","372699","1"
"HIP 57298","HIP 57298 A 2","Water world","Yes","835","279578","931926","1"
"HIP 57298","HIP 57298 A 5","Water world","No","2218","99635","332116","0"
"HIP 57298","HIP 57298 B 5","Water world","No","50641","110686","368953","0"
"HIP 57298","HIP 57298 B 4","Water world","Yes","50676","279906","933019","0"
"HIP 57630","HIP 57630 2","High metal content world","Yes","2296","186779","622596","2"
"HIP 57630","HIP 57630 3","High metal content world","Yes","2303","163007","543356","0"
"HIP 57630","HIP 57630 4","Water world","Yes","3368","285896","952986","0"
"HIP 57630","HIP 57630 5","Water world","No","4386","100334","334446","0"
"HIP 56597","HIP 56597 7","High metal content world","Yes","1312","179806","599353","1"
"HIP 56597","HIP 56597 9","Water world","No","1900","123970","413233","0"
"HIP 61059","HIP 61059 A 3","High metal content world","Yes","393","175790","585966","2"
"HIP 60836","HIP 60836 1","Metal-rich body","No","59","30489","101629","1"
"HIP 60836","HIP 60836 9","Ammonia world","No","3549","184385","614616","0"
"Wregoe OH-G c25-0","Wregoe OH-G c25-0 3","Water world","No","351","102910","343033","1"
"HIP 62411","HIP 62411 1","Metal-rich body","No","12","31151","103836","1"
"HIP 64657","HIP 64657 A 3","High metal content world","Yes","787","189242","630806","2"
"HIP 67939","HIP 67939 C 8","High metal content world","Yes","6182","153695","512316","2"
"HIP 67939","HIP 67939 C 7","High metal content world","Yes","6279","152938","509793","0"
"HIP 71912","HIP 71912 A 7","Water world","No","1417","121051","403503","2"
"HIP 71912","HIP 71912 BC 2","Water world","No","134536","100361","334536","0"
"HIP 73709","HIP 73709 7","High metal content world","Yes","658","169523","565076","1"
"HIP 73709","HIP 73709 8","High metal content world","Yes","659","160739","535796","0"
"HIP 73709","HIP 73709 9","High metal content world","Yes","849","180972","603239","0"
"HIP 75559","HIP 75559 1","High metal content world","Yes","495","181239","604129","1"
"HIP 75559","HIP 75559 2","Earth-like world","No","884","291457","971523","0"
"HIP 75559","HIP 75559 3","Water world","Yes","884","267155","890516","0"
"HIP 76404","HIP 76404 5","High metal content world","Yes","608","163487","544956","2"
"HIP 76404","HIP 76404 6","High metal content world","Yes","809","169828","566093","0"
"HIP 76404","HIP 76404 7","High metal content world","Yes","1147","166779","555929","0"
"32 Bootis","32 Bootis 11","High metal content world","Yes","4485","191497","638323","2"
"HIP 72382","HIP 72382 1","Metal-rich body","No","17","34315","114383","2"
"HIP 72382","HIP 72382 6","Ammonia world","No","3358","164053","546843","0"
"HIP 73905","HIP 73905 B 1","Water world","Yes","7143","284109","947029","2"
"HIP 71930","HIP 71930 2","Class II gas giant","No","5476","30274","100913","1"
"HIP 67242","HIP 67242 1","Metal-rich body","No","42","30124","100413","2"
"HIP 67242","HIP 67242 7","High metal content world","Yes","727","179267","597556","0"
"HIP 68154","HIP 68154 A 2","High metal content world","Yes","264","152774","509246","1"
"HIP 68154","HIP 68154 A 3","High metal content world","Yes","347","151814","506046","0"
"HIP 68154","HIP 68154 A 4","High metal content world","Yes","440","154728","515759","0"
"HIP 65884","HIP 65884 1","Metal-rich body","No","15","32409","108029","1"
"HIP 65867","HIP 65867 3","High metal content world","Yes","1160","175994","586646","1"
"HIP 65867","HIP 65867 4","Water world","No","1645","111594","371979","0"
"HIP 66729","HIP 66729 D 2","High metal content world","Yes","76310","189367","631223","1"
"HIP 66729","HIP 66729 D 1","Metal-rich body","No","76815","31640","105466","0"
"HR 5007","HR 5007 1","Metal-rich body","No","112","30943","103143","1"
"HR 5007","HR 5007 9","High metal content world","Yes","1757","192970","643233","0"
"HR 5007","HR 5007 10","High metal content world","Yes","2640","178997","596656","0"
"41 Comae Berenices","41 Comae Berenices 9","High metal content world","Yes","4827","167033","556776","1"
"HIP 62779","HIP 62779 1","Metal-rich body","No","9","31297","104323","1"
"RW Comae Berenices","RW Comae Berenices AB 3 e","Water world","Yes","2784","252604","842013","1"
"HIP 62965","HIP 62965 DEF 3","High metal content world","Yes","15543","189072","630239","1"
"HIP 62884","HIP 62884 8","Water world","No","1219","110715","369049","1"
"HIP 63698","HIP 63698 1","Metal-rich body","No","7","35609","118696","1"
"HIP 67867","HIP 67867 1","Metal-rich body","No","22","32591","108636","2"
"6 Upsilon Herculis","6 Upsilon Herculis B 1","Metal-rich body","No","25114","34422","114739","4"
"Wredguia UZ-D c26-0","Wredguia UZ-D c26-0 A 6","High metal content world","Yes","426","184176","613919","2"
"Wredguia UZ-D c26-0","Wredguia UZ-D c26-0 A 6 a","Rocky body","Yes","426","130272","434239","0"
"Wredguia UZ-D c26-0","Wredguia UZ-D c26-0 B 8","High metal content world","Yes","393966","182465","608216","0"
"Wredguia UZ-D c26-0","Wredguia UZ-D c26-0 C 1","High metal content world","Yes","403275","178521","595069","0"
"Col 285 Sector KU-M c8-0","Col 285 Sector KU-M c8-0 6","Water world","No","259","114728","382426","2"
"Col 285 Sector KU-M c8-0","Col 285 Sector KU-M c8-0 8","Class II gas giant","No","1282","30790","102633","0"
"Wredguia NI-H c24-0","Wredguia NI-H c24-0 1","High metal content world","Yes","280","158628","528759","1"
"Pherkad Minor","Pherkad Minor 9","High metal content world","Yes","4978","173498","578326","2"
"Pherkad Minor","Pherkad Minor 10 f","Water world","Yes","8330","257733","859109","0"
"Pherkad Minor","Pherkad Minor 10 g","Rocky body","Yes","8358","131448","438159","0"
"Wredguia IH-J c23-0","Wredguia IH-J c23-0 7","Class II gas giant","No","1271","30861","102869","1"
"HIP 75008","HIP 75008 1","High metal content world","Yes","302","176316","587719","1"
"HIP 75008","HIP 75008 2","High metal content world","Yes","303","173648","578826","0"
"HIP 75008","HIP 75008 4","Water world","No","909","98658","328859","0"
"Wredguia HH-J c23-0","Wredguia HH-J c23-0 1","High metal content world","Yes","259","156362","521206","2"
"Wredguia BL-M c21-0","Wredguia BL-M c21-0 2","Water world","No","414","95275","317583","2"
"HIP 92336","HIP 92336 1","Metal-rich body","No","33","35414","118046","2"
"HIP 92738","HIP 92738 6","High metal content world","Yes","2078","177279","590929","1"
"HIP 92738","HIP 92738 7","High metal content world","Yes","2581","163725","545749","0"
"HIP 92738","HIP 92738 8","High metal content world","Yes","3614","175729","585763","0"
"Gliese 635.1","Gliese 635.1 A 6","High metal content world","Yes","3943","185709","619029","1"
"Gliese 635.1","Gliese 635.1 B 3","High metal content world","Yes","52638","165953","553176","0"
"Gliese 635.1","Gliese 635.1 B 5","High metal content world","Yes","52825","163337","544456","0"
"Gliese 635.1","Gliese 635.1 B 4","High metal content world","Yes","52857","166964","556546","0"
"HIP 65616","HIP 65616 A 1","Metal-rich body","No","15","34684","115613","2"
"HIP 65616","HIP 65616 A 2","Metal-rich body","No","27","34879","116263","0"
"HIP 67080","HIP 67080 6","High metal content world","Yes","656","186391","621303","1"
"HIP 67080","HIP 67080 7","High metal content world","Yes","976","186574","621913","0"
"HIP 38485","HIP 38485 A 4","High metal content world","Yes","641","173614","578713","3"
"HIP 38485","HIP 38485 A 5","Water world","No","825","107551","358503","0"
"HIP 50971","HIP 50971 7","High metal content world","Yes","3388","176142","587139","1"
"Wredguia QX-R c18-0","Wredguia QX-R c18-0 1","High metal content world","Yes","260","157529","525096","1"
"Wredguia QX-R c18-0","Wredguia QX-R c18-0 2","High metal content world","Yes","338","160304","534346","0"
"Wredguia QX-R c18-0","Wredguia QX-R c18-0 3","High metal content world","Yes","338","158624","528746","0"
"Wredguia LB-V c16-0","Wredguia LB-V c16-0 A 6","High metal content world","Yes","183","153597","511989","2"
"Wredguia LB-V c16-0","Wredguia LB-V c16-0 A 7","Water world","Yes","237","275780","919266","0"
"Wredguia NG-W c15-0","Wredguia NG-W c15-0 2","High metal content world","Yes","339","151774","505913","2"
"Wredguia NG-W c15-0","Wredguia NG-W c15-0 3","High metal content world","Yes","607","156736","522453","0"
"Wredguia KQ-W c15-0","Wredguia KQ-W c15-0 2","High metal content world","Yes","396","149410","498033","2"
"Wredguia KQ-W c15-0","Wredguia KQ-W c15-0 4","Ammonia world","No","720","135733","452443","0"
"HIP 12276","HIP 12276 C 1","Class II gas giant","No","147417","31117","103723","2"
"HR 129","HR 129 B 1","Metal-rich body","No","45059","36042","120139","2"
"HIP 115717","HIP 115717 BCD 1","Earth-like world","No","12437","260985","869949","2"
"HIP 110488","HIP 110488 2","High metal content world","Yes","1269","159764","532546","1"
"HIP 110488","HIP 110488 3","High metal content world","Yes","1680","151469","504896","0"
"HIP 110488","HIP 110488 4","High metal content world","Yes","2181","160189","533963","0"
"HIP 110488","HIP 110488 5","Water world","Yes","2183","256287","854289","0"
"HIP 5233","HIP 5233 1","Metal-rich body","No","133","30470","101566","2"
"HIP 5233","HIP 5233 5","High metal content world","Yes","2438","186041","620136","0"
"HIP 2955","HIP 2955 A 6","High metal content world","Yes","1558","190760","635866","2"
"HIP 2955","HIP 2955 B 2","Water world","Yes","103407","291614","972046","0"
"HIP 2955","HIP 2955 B 1","High metal content world","Yes","103507","173042","576806","0"
"HIP 5028","HIP 5028 3","High metal content world","Yes","1018","172889","576296","1"
"HIP 5028","HIP 5028 4","High metal content world","Yes","1368","172741","575803","0"
"HIP 5028","HIP 5028 5","High metal content world","Yes","1701","177581","591936","0"
"HIP 5028","HIP 5028 6","High metal content world","Yes","1702","174734","582446","0"
"HIP 5078","HIP 5078 B 1","Metal-rich body","No","3120","30059","100196","1"
"Col 285 Sector MD-S c4-0","Col 285 Sector MD-S c4-0 A 3","High metal content world","Yes","239","171769","572563","1"
"HIP 107995","HIP 107995 1","Metal-rich body","No","98","31335","104449","3"
"HIP 107995","HIP 107995 4","High metal content world","Yes","1581","187442","624806","0"
"HIP 107995","HIP 107995 5","Water world","No","2041","116859","389529","0"
"HIP 105969","HIP 105969 1","High metal content world","Yes","704","183598","611993","2"
"HIP 105969","HIP 105969 2","High metal content world","Yes","902","189798","632659","0"
"HIP 105969","HIP 105969 2 a","Rocky body","Yes","903","130039","433463","0"
"HIP 104421","HIP 104421 1","Metal-rich body","No","39","32310","107699","2"
"HIP 104421","HIP 104421 2","High metal content world","Yes","718","179772","599239","0"
"HIP 104421","HIP 104421 3","High metal content world","Yes","721","173586","578619","0"
"HR 7917","HR 7917 1","Metal-rich body","No","93","36848","122826","1"
"HIP 89822","HIP 89822 A 3","High metal content world","Yes","678","180885","602949","3"
"HIP 89822","HIP 89822 A 3 a","Rocky body","Yes","678","129412","431373","0"
"HIP 89822","HIP 89822 A 4","High metal content world","Yes","882","168750","562499","0"
"HIP 89822","HIP 89822 A 5","Water world","Yes","1283","302291","1007636","0"
"HIP 89822","HIP 89822 B 1","Metal-rich body","No","163803","33920","113066","0"
"HIP 83069","HIP 83069 3 a","Water world","Yes","4037","245958","819859","2"
"HIP 84022","HIP 84022 B 2","High metal content world","Yes","40778","174923","583076","1"
"HIP 84022","HIP 84022 B 1","Metal-rich body","No","41214","30305","101016","0"
"HIP 73018","HIP 73018 1","High metal content world","Yes","496","175589","585296","2"
"HIP 73018","HIP 73018 2","High metal content world","Yes","497","172021","573403","0"
"HIP 73018","HIP 73018 4","High metal content world","Yes","697","161094","536979","0"
"HIP 73018","HIP 73018 3","High metal content world","Yes","698","161986","539953","0"
"HIP 73018","HIP 73018 5","Water world","No","990","95481","318269","0"
"HIP 75059","HIP 75059 A 2","High metal content world","Yes","377","192545","641816","1"
"HIP 75059","HIP 75059 A 3","High metal content world","Yes","633","186518","621726","0"
"HIP 75059","HIP 75059 A 4","Water world","No","889","111498","371659","0"
"HIP 80086","HIP 80086 1","High metal content world","Yes","240","177176","590586","2"
"HIP 80086","HIP 80086 2","Water world","Yes","347","291931","973103","0"
"HR 6203","HR 6203 D 3","Metal-rich body","No","332120","32562","108539","2"
"HR 6203","HR 6203 D 2","Metal-rich body","No","332124","33607","112023","0"
"HIP 83909","HIP 83909 5","High metal content world","Yes","805","192171","640569","3"
"HIP 83909","HIP 83909 6","High metal content world","Yes","1108","191384","637946","0"
"HIP 82702","HIP 82702 ABC 3 e","Rocky body","Yes","5448","128969","429896","2"
"HIP 82702","HIP 82702 ABC 3 c","Rocky body","Yes","5458","126972","423239","0"
"HIP 82702","HIP 82702 ABC 3 d","Rocky body","Yes","5465","133488","444959","0"
"HIP 82702","HIP 82702 ABC 3 f","Rocky body","Yes","5471","129893","432976","0"
"Wredguia XF-C c27-0","Wredguia XF-C c27-0 2","Class II gas giant","No","1462","30861","102869","1"
"HR 6599","HR 6599 6 a","Rocky body","Yes","2578","132036","440119","1"
"HR 6599","HR 6599 6","High metal content world","Yes","2589","192172","640573","0"
"HR 6599","HR 6599 7","Water world","Yes","3655","291204","970679","0"
"HR 6599","HR 6599 8","Water world","Yes","4755","294259","980863","0"
"HIP 87992","HIP 87992 7","High metal content world","Yes","1541","168116","560386","1"
"HIP 87992","HIP 87992 8","High metal content world","Yes","2228","168534","561779","0"
"HIP 90716","HIP 90716 2","Metal-rich body","No","57","35342","117806","2"
"HIP 92986","HIP 92986 5","High metal content world","Yes","2774","189116","630386","2"
"HIP 84663","HIP 84663 A 7","High metal content world","Yes","2238","156042","520139","3"
"HIP 84663","HIP 84663 A 6","High metal content world","Yes","2243","161038","536793","0"
"HIP 84663","HIP 84663 A 9","Water world","Yes","3029","258536","861786","0"
"HIP 84663","HIP 84663 A 8","High metal content world","Yes","3033","159342","531139","0"
"HIP 84663","HIP 84663 A 10","High metal content world","Yes","3980","158532","528439","0"
"HIP 88985","HIP 88985 4","High metal content world","Yes","2113","191464","638213","2"
"HIP 89139","HIP 89139 B 2","Water world","No","462874","105026","350086","1"
"Col 359 Sector BF-X c2-0","Col 359 Sector BF-X c2-0 A 6","High metal content world","Yes","446","169805","566016","1"
"Col 359 Sector BF-X c2-0","Col 359 Sector BF-X c2-0 A 7","High metal content world","Yes","726","165346","551153","0"
"Col 359 Sector BF-X c2-0","Col 359 Sector BF-X c2-0 B 1","High metal content world","Yes","4384","150762","502539","0"
"Col 359 Sector BF-X c2-0","Col 359 Sector BF-X c2-0 B 2","Water world","Yes","4384","246380","821266","0"
"Col 359 Sector BF-X c2-0","Col 359 Sector BF-X c2-0 B 3","Water world","Yes","4384","244116","813719","0"
"Col 359 Sector BF-X c2-0","Col 359 Sector BF-X c2-0 B 4","High metal content world","Yes","4492","155438","518126","0"
"Col 359 Sector HL-V c3-0","Col 359 Sector HL-V c3-0 1","Water world","No","156","92256","307519","1"
"HR 7198","HR 7198 A 1","Metal-rich body","No","62","36586","121953","2"
"HR 7198","HR 7198 B 6","High metal content world","Yes","371402","179105","597016","0"
"HR 7540","HR 7540 A 1","Metal-rich body","No","245","35865","119549","2"
"Col 359 Sector FF-Y c1-0","Col 359 Sector FF-Y c1-0 1","Metal-rich body","No","9","30850","102833","2"
"Col 359 Sector FF-Y c1-0","Col 359 Sector FF-Y c1-0 2","Metal-rich body","No","9","30105","100349","0"
"Col 359 Sector FF-Y c1-0","Col 359 Sector FF-Y c1-0 4","High metal content world","Yes","180","190232","634106","0"
"Synuefai CK-G c27-0","Synuefai CK-G c27-0 B 9","High metal content world","Yes","1328","147789","492629","3"
"Synuefai CK-G c27-0","Synuefai CK-G c27-0 B 8","High metal content world","Yes","1474","150676","502253","0"
"Synuefai CK-G c27-0","Synuefai CK-G c27-0 B 7","High metal content world","Yes","1480","147580","491933","0"
"HIP 110159","HIP 110159 5","Water world","No","2989","122211","407369","3"
"HR 8364","HR 8364 1","Metal-rich body","No","139","31110","103699","2"
"HR 8364","HR 8364 7","High metal content world","Yes","2813","179920","599733","0"
"HIP 111282","HIP 111282 2","High metal content world","Yes","1739","179142","597139","2"
"HIP 116338","HIP 116338 6","High metal content world","Yes","1456","170609","568696","2"
"HIP 3496","HIP 3496 A 4","High metal content world","Yes","446","153767","512556","2"
"HIP 3496","HIP 3496 A 5","Water world","Yes","546","269588","898626","0"
"Col 285 Sector LC-M c7-0","Col 285 Sector LC-M c7-0 A 6","Water world","No","142","101217","337389","1"
"Col 285 Sector QI-K c8-0","Col 285 Sector QI-K c8-0 1","Earth-like world","No","604","280787","935956","1"
"HIP 4213","HIP 4213 1","Metal-rich body","No","11","32777","109256","1"
"CT Ceti","CT Ceti AB 10","Water world","No","1241","111035","370116","1"
"HIP 3024","HIP 3024 A 6","High metal content world","Yes","530","179637","598789","2"
"HIP 4506","HIP 4506 1","Metal-rich body","No","20","35395","117983","1"
"HIP 4506","HIP 4506 3","High metal content world","Yes","2215","173517","578389","0"
"Synuefe HN-K c24-0","Synuefe HN-K c24-0 3","High metal content world","Yes","357","160151","533836","1"
"Synuefe HN-K c24-0","Synuefe HN-K c24-0 4","High metal content world","Yes","452","160155","533849","0"
"Synuefe II-K c24-0","Synuefe II-K c24-0 1","High metal content world","Yes","288","173313","577709","1"
"Synuefe II-K c24-0","Synuefe II-K c24-0 3","Water world","No","512","100604","335346","0"
"HIP 3637","HIP 3637 1","Metal-rich body","No","138","31541","105136","2"
"HIP 3637","HIP 3637 2","Metal-rich body","No","138","31176","103919","0"
"HIP 8076","HIP 8076 1","Water world","Yes","785","297894","992979","2"
"HIP 9744","HIP 9744 A 3","High metal content world","Yes","924","150586","501953","1"
"HIP 9744","HIP 9744 B 6","Water world","No","57850","109176","363919","0"
"HIP 9744","HIP 9744 B 5","Water world","No","57930","105084","350279","0"
"HIP 9744","HIP 9744 B 4","Water world","No","57934","107133","357109","0"
"HIP 8442","HIP 8442 A 3","High metal content world","Yes","1489","156831","522769","1"
"HIP 8442","HIP 8442 B 1","High metal content world","Yes","30985","173213","577376","0"
"HIP 8442","HIP 8442 B 2","High metal content world","Yes","30985","172995","576649","0"
"HIP 8442","HIP 8442 B 5","High metal content world","Yes","31243","176672","588906","0"
"HIP 8442","HIP 8442 B 6","Water world","Yes","31243","279564","931879","0"
"HIP 8442","HIP 8442 B 3","High metal content world","Yes","31488","182511","608369","0"
"HIP 8442","HIP 8442 B 4","High metal content world","Yes","31488","170687","568956","0"
"HIP 6789","HIP 6789 5","Earth-like world","No","3361","262891","876303","1"
"HIP 6842","HIP 6842 A 7","High metal content world","Yes","2210","163906","546353","1"
"HIP 6842","HIP 6842 A 9","High metal content world","Yes","2746","150031","500103","0"
"HIP 6842","HIP 6842 A 8","Water world","Yes","2749","253740","845799","0"
"HIP 5678","HIP 5678 5","High metal content world","Yes","782","179363","597876","1"
"HIP 6895","HIP 6895 B 3","High metal content world","Yes","10262","169543","565143","1"
"HIP 6895","HIP 6895 B 2","High metal content world","Yes","11021","173773","579243","0"
"HIP 6895","HIP 6895 B 4","Water world","Yes","11141","301695","1005649","0"
"HIP 6895","HIP 6895 B 4 a","Rocky body","Yes","11143","127771","425903","0"
"HIP 6275","HIP 6275 A 2","Water world","No","1502","112825","376083","1"
"HIP 8843","HIP 8843 B 5","High metal content world","Yes","9413","190271","634236","2"
"HIP 8843","HIP 8843 B 1","Metal-rich body","No","9696","34433","114776","0"
"HIP 5539","HIP 5539 5","High metal content world","Yes","2359","186740","622466","2"
"Synuefe YK-P c21-0","Synuefe YK-P c21-0 A 5","High metal content world","Yes","319","158111","527036","1"
"HIP 7715","HIP 7715 A 5","Water world","Yes","957","298102","993673","1"
"Synuefe IM-W c17-0","Synuefe IM-W c17-0 3","Class II gas giant","No","1281","30414","101379","3"
"Synuefe GR-W c17-0","Synuefe GR-W c17-0 B 3","Water world","Yes","135455","265663","885543","2"
"HIP 12473","HIP 12473 4","High metal content world","Yes","1918","180426","601419","1"
"HIP 13572","HIP 13572 8","Water world","No","537","104953","349843","1"
"HIP 10764","HIP 10764 4","Water world","Yes","1462","291469","971563","2"
"HIP 10827","HIP 10827 6 a","Rocky body","Yes","853","139329","464429","1"
"HIP 10476","HIP 10476 2","High metal content world","Yes","671","179253","597509","1"
"HIP 10476","HIP 10476 3","High metal content world","Yes","1000","178493","594976","0"
"HR 276","HR 276 C 1","High metal content world","Yes","12269","151381","504603","3"
"HR 276","HR 276 C 6","High metal content world","Yes","12288","150922","503073","0"
"HR 276","HR 276 C 2","High metal content world","Yes","12375","147590","491966","0"
"HIP 969","HIP 969 6","High metal content world","Yes","3064","184757","615856","3"
"HIP 969","HIP 969 7","Water world","No","4270","108090","360299","0"
"HIP 117735","HIP 117735 B 6","Water world","Yes","9638","263531","878436","1"
"HIP 117735","HIP 117735 B 3","High metal content world","Yes","9689","152978","509926","0"
"HIP 117735","HIP 117735 B 4","High metal content world","Yes","9690","152761","509203","0"
"HIP 117735","HIP 117735 B 1","High metal content world","Yes","10093","167190","557299","0"
"HIP 117735","HIP 117735 B 2","High metal content world","Yes","10094","152220","507399","0"
"HIP 117735","HIP 117735 B 5","High metal content world","Yes","10134","157024","523413","0"
"67 Pegasi","67 Pegasi AB 1","Metal-rich body","No","394","31276","104253","2"
"Wredguia OS-J c22-0","Wredguia OS-J c22-0 A 4","High metal content world","Yes","273","157009","523363","4"
"Wredguia OS-J c22-0","Wredguia OS-J c22-0 A 5","Water world","Yes","448","253338","844459","0"
"HIP 115297","HIP 115297 AB 2","High metal content world","Yes","2073","181369","604563","2"
"HIP 110730","HIP 110730 3","High metal content world","Yes","899","170685","568949","2"
"HIP 110730","HIP 110730 4","High metal content world","Yes","1193","177433","591443","0"
"HIP 110730","HIP 110730 5","Water world","Yes","1544","303161","1010536","0"
"Synuefai UW-U c19-0","Synuefai UW-U c19-0 ABC 3","Class II gas giant","No","2270","30183","100609","2"
"HIP 2440","HIP 2440 A 1","Metal-rich body","No","165","30354","101179","1"
"HIP 2440","HIP 2440 B 7","High metal content world","Yes","7740","148890","496299","0"
"HIP 1979","HIP 1979 3","High metal content world","Yes","1098","179295","597649","1"
"HIP 323","HIP 323 B 6","High metal content world","Yes","463805","167807","559356","1"
"HIP 323","HIP 323 B 7","Water world","No","464242","99378","331259","0"
"HIP 114373","HIP 114373 8","High metal content world","Yes","2414","170198","567326","2"
"HIP 114373","HIP 114373 9","Earth-like world","No","3333","279668","932226","0"
"4 Andromedae","4 Andromedae 3","High metal content world","Yes","4028","159762","532539","1"
"4 Andromedae","4 Andromedae 4","High metal content world","Yes","4144","158044","526813","0"
"Col 285 Sector PJ-Q c5-0","Col 285 Sector PJ-Q c5-0 A 6","High metal content world","Yes","446","182037","606789","1"
"Col 285 Sector PJ-Q c5-0","Col 285 Sector PJ-Q c5-0 C 7","High metal content world","Yes","16975","152188","507293","0"
"HR 8429","HR 8429 ABC 1","Water world","No","3473","115874","386246","2"
"Col 285 Sector TF-N c7-0","Col 285 Sector TF-N c7-0 BC 1","Class II gas giant","No","287305","30978","103259","1"
"HIP 108570","HIP 108570 1","Metal-rich body","No","20","35936","119786","1"
"HIP 107322","HIP 107322 4","High metal content world","Yes","1391","169096","563653","1"
"HIP 107322","HIP 107322 5","High metal content world","Yes","1990","168598","561993","0"
"HIP 100933","HIP 100933 A 1","Metal-rich body","No","157","35315","117716","1"
"Col 285 Sector VQ-L c8-0","Col 285 Sector VQ-L c8-0 6","High metal content world","Yes","361","180758","602526","2"
"Col 285 Sector VQ-L c8-0","Col 285 Sector VQ-L c8-0 7","High metal content world","Yes","364","178783","595943","0"
"Col 285 Sector VQ-L c8-0","Col 285 Sector VQ-L c8-0 8","High metal content world","Yes","612","192334","641113","0"
"HIP 90535","HIP 90535 1","Metal-rich body","No","8","34642","115473","3"
"HR 7018","HR 7018 B 8","Ammonia world","No","120974","170728","569093","1"
"HIP 101184","HIP 101184 5","Water world","No","2094","117545","391816","2"
